c_N,c_B,c_P,c_O,defect_N,defect_B,defect_P,defect_O,defect_C,defect_total,E_GPa,sigma_y_GPa
0.03245425604256365,0.005138261047554139,0.015815938735480053,0.010287712906547597,0.006037841535278453,0.02292946791997112,0.019484462889433254,0.0069177236880679956,0.02530437065742547,0.08067386669017629,275.7682314709214,5.0
0.014493119429650486,0.003998634038438068,0.0034451250654009944,0.005041792842897485,0.025613492871412083,0.02274063814829859,0.013956203698067928,0.02648591712027774,0.028526026242654552,0.11732227808071088,101.36560399067966,5.0
0.0006706189509530058,0.0010187581573496338,0.0012601408798008187,0.0011478344055160104,0.002307333870599999,0.015586256960115643,0.02810100800355515,0.008339931355556041,0.001639933598873605,0.05597446378870043,534.5327355040764,52.167830487966754
0.0001233184084408785,0.0008442620879365113,0.00023580253771871462,0.00044938051875680513,0.028648020762806047,0.009067530675269445,0.003788639737804077,0.0032319586603962334,0.010288380889218077,0.055024530725493875,584.5871375207954,63.347268987010644
0.0022889528521864433,0.059056935725286634,0.017510190627989402,0.00247094471456478,0.025444021849954142,0.017697063351397466,0.013017893332987012,0.004036340055612704,0.026841928087332996,0.08703724667728432,246.0334978265817,13.594092145025602
0.026143275646317875,0.02892831018893265,0.013261571516542111,0.022942400375979555,0.028177658927381305,0.01801573767179876,0.02462481572319385,0.007741595615290852,0.021372552992567392,0.09993236093023215,132.81164212380892,5.0
0.01171670890229143,0.039004024399284916,0.005445200848906024,0.004497643426235613,0.01752637446226089,0.0038415250340724217,0.008079198061470956,0.015442091337243672,0.021690048154751774,0.0665792370497997,415.14976749163293,29.61810891464723
0.0019959063942050223,0.03114948658868067,0.003623374178896408,0.03618088893661775,0.010209606194932448,0.028837312935993058,0.020687119400742172,0.01690810500299837,0.0030759566570134544,0.07971810019167949,297.5744170474035,12.648412715053256
0.017289895149782363,0.023100300461075585,0.00025209620815072777,0.013720207327533613,0.002082604029254341,0.021604258345232465,0.012796918468182724,0.014217591796329957,0.013371620941979091,0.06407299358097858,456.5428481487446,13.71927433795941
0.011214759259908804,0.053265287165324374,0.020020224643886097,0.009006971309657547,0.02190076998863347,0.010275293201380459,0.0042486418848665004,0.012272640238290673,0.0035327332666058486,0.05223007857977695,510.3076770432805,39.01590171938574
0.009159421312005336,0.020912160124773184,0.013495107610273937,0.03801866636510076,0.017748304722482854,0.0005800911572527623,0.02451013030689195,0.006671431274922382,0.006044599190636198,0.05555455665218614,384.3200779576505,38.78827300799554
4.544376932594575e-05,9.79134085545237e-05,3.5157572263273555e-05,9.53352668710665e-05,0.0006968263413923892,0.02158889300361439,0.025084836147689582,0.028626387458863044,0.00482244617235572,0.08081938912391513,370.54628217710507,23.59874554958501
0.041512611862558745,0.024019741197323558,0.018421366264793338,0.001786708334081311,0.02374545508707998,0.012788603377589882,0.013853899720178146,0.0005813561261320033,0.002867496924990723,0.053836811235970734,447.91774617353735,45.011774811938885
0.0018425528084822851,0.0007052694028553653,0.0005413015895281543,0.00026943372968063115,0.01524180030086957,0.013814404952305025,0.014243022984178446,0.006893510053180198,0.02157611992256301,0.07176885821309625,428.4112876674846,13.73569099788141
0.030042829351227266,0.015350716396109479,0.007650045488639972,0.019921953407017697,0.0024680339262764892,0.005620462475700469,0.013023689621446169,0.0031135093746038965,0.015414643924730012,0.03964033932275704,560.6906213794516,50.270940432168764
0.005666570114888197,0.004866471009192267,0.005022826775366461,0.002009694160808975,0.02808937316320947,0.011515396158703766,0.0019575561494675764,0.011781493787439402,0.004706252317189427,0.058050071576009644,543.2359600275174,53.25084561911112
0.037661436939920676,0.0424442958816363,0.004395879610309382,0.0018162798031223055,0.025667799416344225,0.0048548878654862135,0.021279937407291404,0.025510438911495698,0.018131986841792493,0.09544505044241003,208.4390511647693,5.0
